x,y,z,color
2900,2,475.977762714,#28D204
1200,32,3326.75451829,#6B8B07
2000,16,596.762182857,#FA0301
1700,16,2086.04913786,#ED0809
1300,4,2713.80033014,#01FD00
2000,8,232.636448143,#06F700
2901,4,3623.51461029,#2309D2
1600,32,172.635810286,#0AF301
2800,8,385.147499571,#ED0E03
2200,16,70.8239981429,#00FE00
2400,8,1573.70359071,#C71225
1300,4,974.610519714,#09F202
1400,8,774.532103571,#00FE00
2700,8,267.296320429,#975F08
1400,4,562.144377571,#0AF202
2800,8,201.809019143,#708608
2000,32,236.016227571,#EB0F03
2900,4,181.565539,#0CF001
1900,8,2650.506632,#E40B0F
2400,4,2956.94588914,#CC1121
2901,32,110.755338571,#FE0000
1600,8,732.941065571,#0BF201
1900,2,676.104545,#00FE00
2901,1,2864.66615014,#F90301
2901,16,97.887107,#8D6808
1600,4,2390.802666,#5D9907
2500,2,1827.591784,#E61304
1600,16,264.744674,#00FE00
2200,16,412.536995429,#EF0B03
1700,2,1273.93066529,#00FE00
2200,4,562.812966714,#2DCC04
2300,32,2923.22119829,#180BDB
2000,16,1737.98952643,#961553
2901,2,5738.68699043,#52109B
2200,1,812.623772429,#00FE00
2700,2,3975.76394657,#DA0E16
1200,2,301.166552429,#29C80D
2200,1,1027.17481643,#00FE00
2300,4,801.880043,#956108
1700,4,4426.65446329,#FA0301
2900,2,882.18721,#A45208
2300,1,1726.76898214,#23D803
2900,2,546.302701857,#3CBC05
2400,16,630.933814857,#E90A0B
2900,32,163.672239714,#F20606
1900,16,71.9786371429,#02FB00
1700,8,192.143189286,#05F801
2200,2,723.942246429,#07F601
2901,8,105.788820714,#1DDE03
2901,1,2174.87436171,#DD1C05
1200,32,454.007913,#0DED03
2500,32,156.185393857,#FD0100
1200,4,1997.13253971,#0EEC03
1300,32,228.133162857,#03FB00
2901,2,2078.23132714,#FB0201
2500,8,306.341333,#916408
2300,32,138.134979,#D32406
2800,16,247.918982714,#FD0100
1900,4,3759.03651586,#FB0201
1900,1,1411.40736071,#00FE00
2800,1,1148.60345014,#35C405
1700,2,551.113935857,#08F401
1800,1,1398.92396343,#01FD00
2000,16,134.942665714,#0CF001
1900,2,672.327196429,#00FE00
1400,32,1065.60033357,#F10A02
1700,8,2810.46774857,#FE0000
1900,8,2014.52769386,#FA0201
1400,16,1974.00141014,#D12706
2400,2,6068.77821986,#C61226
2800,4,1287.56691657,#F90302
2800,32,241.092495429,#D3101B
2300,8,198.262996286,#13E802
2200,8,619.352350714,#C82F06
2200,1,390.230280143,#0BF002
2901,1,1919.09774586,#C63107
2900,2,5809.63174829,#5F128C
1200,2,5748.61714729,#05F801
2400,8,642.75856,#F70601
1600,4,2815.78770643,#837308
2900,16,1787.61977757,#0100FC
2400,4,544.377216714,#5D9A07
1600,1,2266.81720414,#01FD00
2800,2,372.589218429,#09F401
2400,16,212.899373714,#B73F07
2800,32,290.914630714,#B0143A
1400,4,3847.25097757,#639407
2700,8,217.090145571,#669007
1200,1,5223.20193557,#0FEB03
2000,16,3407.56310286,#0C03EE
1700,1,812.452400286,#0DEE03
1700,2,4549.26168971,#9F5608
1600,32,705.172453714,#F60601
2700,16,453.403506286,#EB090A
1700,32,223.826553571,#599E07
2900,4,482.872733286,#B64007
2000,4,2377.33662429,#FD0100
1700,2,2259.360387,#1CDF03
2800,16,584.275177429,#B61434
2700,4,171.397268857,#01FC00
2800,1,4613.13793886,#FD0100
2200,1,1128.91184871,#01FD00
2500,2,3739.77443314,#F10606
2900,8,2551.65742729,#0501F7
2901,16,3221.62382957,#1C0DD4
1300,8,3327.66616186,#35C305
1700,8,549.054512,#0EEE01
1300,32,808.253394,#4AAE06
1900,4,4240.08944914,#F50404
2800,8,885.608784857,#DF0D12
2300,16,160.014737429,#57A007
1600,32,1317.53900343,#EE0808
2000,4,3228.565306,#F90302
1300,4,283.948122429,#1CDA07
1700,16,258.259668143,#08F501
2900,16,251.716332286,#FE0000
2800,1,219.184223286,#09F302
2700,16,362.010132429,#FB0201
1400,32,2385.16181771,#E00C11
1800,1,1567.87228014,#00FE00
2700,16,3053.94106529,#0D05EC
1800,32,3550.35203914,#0000FE
2800,32,10161.4227354,#442E8C
1200,32,1516.37802857,#02FC00
1900,1,6337.460477,#BC3B07
1700,8,121.137194571,#0DEE03
2900,16,566.410172857,#A51543
2700,16,1727.196029,#0200FB
1200,4,821.564958429,#1DD908
1700,4,665.741006571,#00FE00
1900,16,2660.67923486,#5F128D
2700,16,390.490944857,#F70403
2300,2,193.772221714,#09F302
2500,2,600.693098429,#17E402
2300,16,97.4775225714,#10EC02
1900,16,914.249045,#FE0000
1200,32,618.865038857,#08F401
1800,4,454.250617571,#00FE00
2700,32,139.310312429,#FE0000
2901,2,4071.95426314,#A31545
2400,1,810.141943571,#00FE00
2500,32,1875.07529857,#1007E7
1400,1,7338.93908971,#0CF101
2200,2,1116.811191,#2ECB04
2901,1,1367.92420229,#7B7B08
2200,16,292.507763286,#BC3B07
1800,1,1151.88363643,#03FA00
1600,4,386.715445143,#08F401
1600,16,383.870290714,#0DF001
1200,16,849.098192286,#1BDC07
2000,2,4113.716431,#F70501
1400,16,7100.466474,#BD132E
2800,1,1693.01554329,#866F08
2500,16,68.5934972857,#0CF101
2400,2,4335.97625914,#F00707
2800,8,565.505456857,#FE0000
2300,2,205.880555571,#08F401
2000,32,914.883128286,#7D146C
2200,32,1465.87285843,#0401F8
1600,32,293.297952857,#4BAD06
2200,2,647.314829286,#03FA00
1400,32,861.322986571,#CB2C06
2300,16,372.856017429,#F50702
1800,1,3573.66735057,#20DB03
2900,2,2075.42117786,#FD0000
1400,2,7656.28631543,#6A8C07
2500,16,144.315851857,#7E7708
2500,1,2119.746062,#7B7B08
1700,2,1500.46976171,#02FB00
1700,4,350.845007,#05F801
1300,1,1390.83132243,#18E006
1200,8,4432.70207457,#05F801
2900,16,92.3808518571,#708608
2800,16,557.905689286,#BF132C
2000,1,846.943840571,#02FC00
2200,32,75.4523285714,#34C405
2700,2,374.494109143,#04F900
1900,8,710.824142143,#896C08
2700,4,2078.03852357,#D50F19
2700,8,1543.93187814,#8E155B
2901,8,1228.349048,#7F146A
2000,8,675.723846286,#AF4708
1400,1,900.925228,#17E105
2500,4,545.367232714,#7B7B08
2400,4,3764.76434571,#9F1549
2700,1,2138.54537914,#A15408
1800,1,305.66289,#18DF06
2800,8,3232.71845529,#0000FE
2200,8,180.005635286,#05F900
1800,2,620.892603143,#03FB00
1200,8,875.737816286,#20D509
1700,16,365.753103143,#29D004
1600,16,123.906855286,#07F501
1600,16,644.984041857,#49AE06
1200,32,2911.39267086,#48B006
2300,4,337.431699571,#0BF201
1300,1,3320.07504514,#0AF202
2400,4,1057.45941843,#E61304
2200,4,1430.21669871,#E81204
2901,1,183.090827143,#09F302
1200,8,274.981461,#27CB0C
2800,8,637.349592286,#FB0201
1800,4,877.21163,#16E502
1600,16,1317.779003,#E11804
1800,8,754.827916143,#619507
2300,8,598.802028714,#E01905
1400,1,1176.28902671,#13E704
2500,4,212.545556286,#03FB00
1700,4,2297.724623,#9A5B08
1300,16,118.475729143,#1BDC07
2200,8,285.570091429,#29D104
1300,4,4193.63954871,#18E302
1900,32,332.255953429,#F80401
2900,2,1732.90020357,#FE0000
1300,16,3114.70945857,#9D5808
2400,2,861.144590286,#35C305
2400,8,93.2826118571,#00FE00
2700,2,984.233097714,#8B6B08
2000,16,280.636815,#7B7B08
2300,32,944.342271429,#2108D4
2200,16,422.355798143,#F20A02
2400,32,355.650911571,#D40F1A
2700,32,878.572975143,#0000FD
2800,32,1472.97196057,#1107E5
1700,1,2905.54234114,#02FB00
